Insulin-like peptide receptor,K05087 
Chaperone protein YcdY,nan
D-xylose transporter,K08150
CENPB DNA-binding domain-containing protein 1,K09228
Complement factor D,K01323
Succinate-semialdehyde dehydrogenase [NADP(+)],K23234
Antitrypsin,K13963
Thermostable monoacylglycerol lipase,nan
Cell division protein ZapB,nan
GPI transamidase component GPI16,K05292
O-acyltransferase like protein,K10723
Transcription factor glial cells missing 2,K21598
Amyloid-beta A4 protein (Fragment),K24427
Dorsal-ventral patterning protein tolloid,K01362
Putative uncharacterized protein,K19868
Uncharacterized RNA pseudouridine synthase YjbO,K22538
5-oxoprolinase subunit A,nan
Acetylcholinesterase-1,K01049
Probable alpha-glucosidase,K01187
Pyruvate decarboxylase 2,nan
Aldo-keto reductase family 1 member D1,K00011
Protein Wnt-1,K03209
Chitin deacetylase 1,K01183
Putative uncharacterized protein,K03364
Probable cation-transporting ATPase exp7,K01544
"Hydroxyacyl-thioester dehydratase type 2, mitochondrial",nan
Protein HIR1,K11293
High-affinity glucose transporter 1,K08150
Cytochrome P450 monooxygenase ORF9,K07425
Lumican,K08122
Uncharacterized mitochondrial protein AtMg00860,K22656
NADH-quinone oxidoreductase subunit N,K00139
E3 ubiquitin-protein ligase ZNF598,K22381
Neurochondrin homolog,K01097
Cytochrome P450 monooxygenase oblE,K07437
Uncharacterized protein YqkD,nan
Bis(5'-adenosyl)-triphosphatase ENPP4,K18398
Delta-like protein 4,K06051
NADH oxidoreductase HCR,nan
Ovochymase-2,K01362
"RHOMBOID-like protein 6, mitochondrial",nan
Snake venom 5'-nucleotidase,K12850
Putative uncharacterized protein,K14773
Uncharacterized methylase RP545,nan
CTD kinase subunit alpha,K02449
Nitrate/nitrite binding protein NrtA,K11433
Putative uncharacterized protein,K06515
Putative uncharacterized protein,K14849
Protein pbn1,nan
Putative uncharacterized protein,K12823
Adhesion G-protein coupled receptor G6,K08463
Uncharacterized 55.8 kDa protein in cps region,nan
DnaJ homolog subfamily C member 24,K17867
Formate hydrogenlyase transcriptional activator,nan
32 kDa beta-galactoside-binding lectin,K10091
Glutathione import ATP-binding protein GsiA,K05657
E3 ubiquitin-protein ligase COP1,K11985
Corticotropin-releasing factor receptor 1,K04578
Transcriptional activator HAP5,K08066
Putative uncharacterized protein,K09288
E3 ubiquitin-protein ligase SINA-like 10,K04506
Inactive peptidyl-prolyl cis-trans isomerase shutdown,K09572
L-fuculokinase,nan
Putative uncharacterized protein,K08886
Uncharacterized ATP-dependent helicase C29A10.10c,nan
Nuclear movement protein nudC,nan
"Dynein assembly factor 4, axonemal",K19758
Sensor protein IrlS,nan
Probable transporter MCH2,nan
Forkhead box protein G1,K09385
Matrix metalloproteinase-A,K08003
Multiple sugar-binding transport system permease protein MsmG,nan
Response regulator protein PilR,nan
Serine/threonine-protein kinase NIM1,K16310
Transcription factor vrtR1,nan
Structural glycoprotein p40,nan
"Glutamate receptor ionotropic, kainate 4",K05313
Cathepsin L,K01373
Probable transcriptional regulatory protein KPK_1906,nan
Nuclear pore complex protein Nup133,K14300
Putative uncharacterized protein,K14328
Type IV pilus assembly ATPase PilB,nan
Non-canonical non-ribosomal peptide synthetase ascB,K13356
Aquaporin-12,K09884
Tripeptidyl aminopeptidase,nan
Phenoloxidase-activating enzyme,K09632
Alkaline nuclease,nan
40S ribosomal protein S14-1,K02955
Probable cell division protein kinase ECU11_1290,K08818
Ribosome-binding protein 1,K14000
Gastrulation defective protein 1 homolog,K14406
Neural-cadherin,K16496
Protein argonaute MEL1,K11593
Mitochondrial substrate carrier family protein L,K15109
Homeobox even-skipped homolog protein 1,K09303
"Dynein heavy chain, cytoplasmic",K10414
Cationic trypsin,K23440
Kunitz-type U19-barytoxin-Tl1a,K03909
Putative calmodulin-3 (Fragment),K02183
E3 ubiquitin-protein ligase listerin,K10848
Phospholipid scramblase family member 5,nan
Putative uncharacterized protein,K01280
ADP-ribosylation factor-like protein 4C,K07945
60S ribosomal protein L31,K02910
Serine/threonine-protein phosphatase 4 catalytic subunit A,K15423
Activity-regulated cytoskeleton associated protein 1,K01922
Kallikrein 1-related peptidase b3,K01312
U2 small nuclear ribonucleoprotein A',K11092
"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",nan
Gamma-aminobutyric acid receptor subunit alpha-5,K05175
Chorion class high-cysteine HCA protein 12,nan
Putative uncharacterized protein,K11303
Glucosidase 2 subunit beta,K08288
Chaoptin (Fragment),K08844
High-affinity hexose transporter HXT6,K08139
Putative uncharacterized protein,K13811
Slowpoke-binding protein,K17543
Probable transcriptional regulatory protein PFL_4766,K18189
Transcriptional regulatory protein SrrA,nan
"Cell wall alpha-1,3-glucan synthase mok13",nan
ATP-binding cassette sub-family A member 5,K05648
Glycoprotein 3-alpha-L-fucosyltransferase A,K00753
Uncharacterized HTH-type transcriptional regulator MT0088,nan
Uncharacterized protein HI_0095,nan
Putative uncharacterized protein,K02184
Zinc finger MYM-type protein 6,K22758
Protein inturned,K22862
T-complex protein 11,nan
Putative uncharacterized transposon-derived protein F52C9.6,K03515
Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB,nan
Inositol phosphorylceramide synthase,K22723
Histone H4 transcription factor,K17441
Dihydrosphingosine 1-phosphate phosphatase C823.11,nan
Zinc finger and BTB domain-containing protein 8A,K09228
Chloroplast envelope quinone oxidoreductase homolog,K10133
Alpha-fibrinogenase-like,K23011
Probable squalene monooxygenase,K00511
4-hydroxy-3-methylbut-2-enyl diphosphate reductase,K19788
ATP-binding cassette sub-family C member 9,K05033
Early lactation protein,K23623
Ubiquitin carboxyl-terminal hydrolase 4,K11842
Putative amino-acid ABC transporter-binding protein YhdW,nan
Uncharacterized protein C7orf26 homolog,nan
Inosine-5'-monophosphate dehydrogenase 1,K00088
Carbonic anhydrase 1 (Fragment),K01672
Protein takeout,nan
tRNA dimethylallyltransferase,nan
Potassium-transporting ATPase ATP-binding subunit,K05853
ATP-dependent 6-phosphofructokinase subunit beta,K00850
Spherulin-2A,nan
DNA-directed RNA polymerase subunit beta,K01951
Dihydropyrimidinase-related protein 2,K01464
CTP pyrophosphohydrolase,K17817
Putative uncharacterized protein,K19328
Calcium release-activated calcium channel protein 1,K16056
"Dynein assembly factor 3, axonemal homolog",K19752
Transposable element Tc1 transposase,K14799
Down syndrome cell adhesion molecule-like protein Dscam2,K21767
Transcription factor castor,nan
C6 finger domain transcription factor nosA,nan
Flavin-containing monooxygenase FMO GS-OX-like 5,K00485
Lipid A export ATP-binding/permease protein MsbA,nan
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",K01102
V-type proton ATPase subunit D,K02149
Techylectin-5B,K05466
Uncharacterized oxidoreductase YkvO,K13370
UDP-N-acetylglucosamine transferase subunit alg13,nan
UDP-N-acetylglucosamine 2-epimerase,nan
Chitin synthase D,K00698
Chitin synthase G,K00698
Serine protease filzig,K09642
Dynein regulatory complex subunit 5,K22666
Membrane sensor protein UhpC,K08171
"Probable dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",K03848
Sialin,K12300
Quinolone resistance transporter,nan
Protein PrkA,nan
Alpha-1-macroglobulin,K23589
Enteropeptidase,K09624
Phenoloxidase-activating factor 1,K20672
Intracellular exo-alpha-L-arabinofuranosidase,nan
RNA polymerase II holoenzyme cyclin-like subunit,K15161
Uncharacterized MFS-type transporter C18.02,nan
Putative uncharacterized protein,K10643
Putative uncharacterized protein,K08376
Galactose/methyl galactoside import ATP-binding protein MglA,K00558
Homoserine O-acetyltransferase,K00314
Serine hydrolase-like protein 2,nan
UPF0365 protein Aasi_1337,K14999
Allantoinase,K01466
MOXD1 homolog 1,K00503
Putative uncharacterized protein,K05048
Transcription initiation factor TFIID subunit 1,K11349
Uncharacterized oxidoreductase sll0816,nan
Phenoloxidase-activating enzyme,K20128
Putative uncharacterized protein,K10685
Adenylate cyclase,K08048
Uncharacterized oxidoreductase YhdF,K13370
Putative uncharacterized protein,K13523
MFS-type transporter oryC,K08142
"Pentatricopeptide repeat-containing protein 2, mitochondrial",nan
Peroxisomal-coenzyme A synthetase,K01904
Purine nucleoside phosphorylase,K03783
Putative uncharacterized protein,K10908
REST corepressor,K11829
"rRNA methyltransferase 3, mitochondrial",K20095
Myo-inositol 2-dehydrogenase,K00010
Protein pellino,K11964
Putative uncharacterized protein,K04728
NACHT and WD repeat domain-containing protein 2,K19360
Dorsal-ventral patterning tolloid-like protein 1,K08606
Achaete-scute complex protein T8,K09067
Ribosomal large subunit pseudouridine synthase B,K00311
Serine protease 45,K01324
Major facilitator-type transporter hxnZ,nan
MFS-type transporter oryN,nan
Probable cell division protein WhiA,nan
Apurinic-apyrimidinic endonuclease 1,K10771
Inward rectifier potassium channel 2,K05330
4-hydroxybenzoate transporter PcaK,nan
Cytoglobin-1,K21894
Homeobox protein unplugged,K09321
Putative uncharacterized protein,K17529
DNA topoisomerase 3-beta-1,K03165
Alkane 1-monooxygenase,nan
Pancreatic triacylglycerol lipase,K19404
Zinc finger protein 423 homolog,K22870
Aconitate hydratase B,K11992
25S rRNA (adenine-N(1))-methyltransferase,K14850
DBH-like monooxygenase protein 1 homolog,K00503
Surface composition regulator,nan
Putative uncharacterized protein,K05627
60 kDa chaperonin 2,K04077
Keratocan,K06850
Sortilin-related receptor,K24498
Putative uncharacterized protein,K05202
Putative uncharacterized protein,K00643
Carbohydrate sulfotransferase 4,K04746
Uncharacterized ABC transporter ATP-binding protein YdcT,K05658
Probable RNA-directed DNA polymerase from transposon X-element,K15719
Putative pre-16S rRNA nuclease,nan
THUMP domain-containing protein 3,nan
NF-kappa-B-repressing factor,K06258
Kelch-like ECH-associated protein 1B,K10456
Tyrosine-protein kinase JAK2,K04447
Putative ABC transporter ATP-binding protein,K05679
Ubiquitin-protein ligase E3C,K10589
PWWP domain-containing protein2,nan
E3 ubiquitin-protein ligase RNF146-B,K15700
Uncharacterized protein y4hP,nan
UPF0750 membrane protein YpjC,nan
Serpin B10,K13963
Transient receptor potential cation channel subfamily A member 1,K15502
Protein TOS4,nan
Type III polyketide synthase A,nan
Spermine synthase,K20401
Histidine transport ATP-binding protein HisP,K02021
Putative uncharacterized protein,K00310
Retrovirus-related Pol polyprotein from transposon 297,K16467
Facilitated trehalose transporter Tret1,nan
PAB1-binding protein 1,K23625
Astacin-like metalloendopeptidase,K13047
Serine hydroxymethyltransferase 5,K00600
Putative urea carboxylase,K01941
E3 ubiquitin-protein ligase Ubr3,K11978
Ribosome biogenesis protein NOP53,K14840
Protein-glucosylgalactosylhydroxylysine glucosidase,K22078
Serine/threonine-protein kinase 1,K06070
Uncharacterized isomerase YHI9,nan
Colistin resistance protein EmrB,nan
Putative uncharacterized protein,K08869
Rhophilin-2,K22614
Protein/nucleic acid deglycase YajL,K05687
Uncharacterized amino acid permease YhdG,K13871
Vascular endothelial zinc finger 1,K09228
Solute carrier family 22 member 7,K08209
Probable E3 ubiquitin-protein ligase RNF144A,K11975
Putative uncharacterized protein,K12494
Serine/threonine-protein phosphatase PP-X homolog 4,K15423
V-type sodium ATPase subunit E,nan
RNA N6-adenosine-methyltransferase METTL16,K11393
SCO-spondin,K24427
Putative uncharacterized protein,K23087
Signal recognition particle subunit SRP72,K03108
Putative uncharacterized protein,K13173
General stress protein 14,K08071
Large ribosomal RNA subunit accumulation protein YceD,nan
Formate hydrogenlyase subunit 4,nan
Cadmium resistance transcriptional regulatory protein CadC,nan
Sporulation kinase E,nan
"Acetate/butyrate--CoA ligase AAE7, peroxisomal",K01904
Neuronal acetylcholine receptor subunit alpha-3,K04804
Serine protease easter,K20671
"Actin, muscle",K05692
60S ribosomal protein L36,K02920
ABC multidrug transporter atrF,K05681
Flagellar FliJ protein,nan
Far upstream element-binding protein 1,K13210
"Dynactin, 150 kDa isoform",K09383
3-methylmercaptopropionyl-CoA dehydrogenase,K11538
Seminase,K01312
Rubredoxin-NAD(+) reductase,nan
Nephronectin,K17307
Putative uncharacterized protein,K19748
"Actin, cytoplasmic 3",K05692
Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type,K05853
LL-diaminopimelate aminotransferase,nan
Calcium-transporting ATPase,K01537
Myopalladin,K22653
Putative uncharacterized hydrolase C1020.07,K17623
Kunitz-type serine protease inhibitor bitisilin-2,K23087
Uncharacterized membrane protein STKORF319,nan
Aprataxin and PNK-like factor,K13295
Cathepsin O,K01374
Putative uncharacterized protein,K03126
Elongation factor P hydroxylase,nan
Petrobactin import ATP-binding protein FatE,K05643
Leucine-rich repeat transmembrane protein FLRT1,K24492
GRB2-associated-binding protein 1,K20231
Putative uncharacterized protein,K08855
Extracellular exo-inulinase,nan
Protein LAS1,K16912
Suppressor of glycerol defect protein 1,K17583
Nuclear elongation and deformation protein 1,nan
Uncharacterized protein pXO2-23/BXB0022/GBAA_pXO2_0022,nan
UPF0336 protein Lxx02810,K12405
Estradiol 17 beta-dehydrogenase 5,K00011
Transmembrane protein 151B,K06258
Putative uncharacterized protein,K23957
Putative uncharacterized protein,K23407
Putative uncharacterized protein,K19930
Endoplasmic reticulum chaperone BiP,K09490
SKI family transcriptional corepressor 2,nan
Nuclear autoantigenic sperm protein,K11291
Dihydrosphingosine 1-phosphate phosphatase C823.11,K07593
Putative sigma L-dependent transcriptional regulator YplP,nan
Probable sensor histidine kinase PdtaS,nan
ABC transporter B family member 1,K05655
Putative uncharacterized protein,K04705
Cytochrome P450 monooxygenase yanC,K00512
"Cullin-associated NEDD8-dissociated protein 1, N-terminal part",nan
Uncharacterized protein MT2644,nan
Molybdate import system permease protein MolB,nan
Phospholipase A1,K19404
Putative uncharacterized protein,K17894
Pupal cuticle protein 36a,K10385
"PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL",K00863
Transportin-2,K18752
Protein spitz,K16691
B-cell receptor CD22,K22656
Contactin-5,K06491
Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 (Fragment),nan
Non-reducing polyketide synthase ascC,nan
Linear gramicidin synthase subunit D,K01896
Peptidyl-prolyl cis-trans isomerase 1,K24027
Serine protease snake,K09628
Otoferlin,K19949
Putative uncharacterized protein,K12485
cAMP-responsive element-binding protein-like 2,nan
UDP-glucose 6-dehydrogenase 1,K00012
Homeotic protein antennapedia,K09311
Uncharacterized ABC transporter substrate-binding lipoprotein YvrC,nan
"Glutamate dehydrogenase 2, mitochondrial",K00261
Mitochondrial-processing peptidase subunit beta,K17732
Endocuticle structural protein SgAbd-6,nan
Carboxypeptidase Y inhibitor,nan
Streptothricin acetyltransferase A,nan
"cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F",K13293
Subtilin transport ATP-binding protein SpaT,K05658
Complement component C8 alpha chain,K06841
Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43,K12820
Catalase-peroxidase,K00428
Probable 2-methylisocitrate lyase 1,K01841
6-deoxy-6-sulfogluconolactonase,K01053
Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,K02178
Uncharacterized protein in cpoL 5'region (Fragment),nan
NADP-dependent mannitol dehydrogenase,K13370
Sugar transporter STL1,K08139
Probable ATP-dependent transporter SufC,K02021
ATP-dependent RNA helicase dhx8,K12818
Probable isoprenylcysteine alpha-carbonyl methylesterase ICMEL1,K15889
Transmembrane protein 272,K11168
Probable lysine-specific demethylase 4A,K06709
Astacin-like metalloendopeptidase,K08778
Uncharacterized oxidoreductase DltE,K11166
Rab GTPase-binding effector protein 1,K12480
Diaminopimelate epimerase,nan
Pyridoxine 5'-phosphate synthase,nan
Chloramphenicol acetyltransferase 2,nan
Ral guanine nucleotide dissociation stimulator-like 1,K17635
Mitochondrial-processing peptidase subunit beta,nan
Putative hydroxymethylpyrimidine/phosphomethylpyrimidine kinase 2,nan
Probable small nuclear ribonucleoprotein Sm D1,K11087
Oxygen-independent coproporphyrinogen III oxidase,nan
Serine protease inhibitor 28Dc,K13963
RIMS-binding protein 2,K17591
Diphosphoinositol polyphosphate phosphohydrolase aps1,K07766
3-dehydro-D-guloside 4-epimerase,K01816
Serine/threonine-protein kinase PSK1,K18469
Snaclec flavocetin-A subunit beta,K22244
"PTS-dependent dihydroxyacetone kinase 2, dihydroxyacetone-binding subunit DhaK",K00863
Uncharacterized protein pXO2-21/BXB0020/GBAA_pXO2_0020,nan
Uncharacterized ATP-binding protein YghT,nan
"Glutamate receptor ionotropic, kainate 2",K01052
Nucleolysin TIA-1,K13201
Signal transduction histidine-protein kinase AfsQ2,nan
GTP cyclohydrolase-2,nan
tRNA-specific adenosine deaminase subunit tad3,nan
NEDD8-conjugating enzyme UBC12,K10579
Uncharacterized protein C7orf50,K22070
DNA-directed RNA polymerase III subunit RPC2,nan
C-factor,K19902
"Malonate--CoA ligase ACSF3, mitochondrial",K18660
Competence protein ComM,nan
Uncharacterized protein C4G9.14,K13348
BTB/POZ domain-containing protein 17,K10442
Methionine import ATP-binding protein MetN,K05657
L-serine dehydratase,nan
Peroxidasin,K06766
Neural-cadherin,K16507
UPF0294 protein KPK_4510,nan
D-arabitol-phosphate dehydrogenase,K17818
Multidrug export protein MepA,K03327
Calcium-binding mitochondrial carrier protein SCaMC-2,K14684
Putative ATP-dependent RNA helicase YLR419W,K18995
Endoglucanase A,nan
ARL14 effector protein,K23207
Neural/ectodermal development factor IMP-L2,K06762
Acetate kinase,nan
PqqA binding protein,nan
Seroin,K10848
Phenylalanine ammonia-lyase str11,nan
"Stearoyl-[acyl-carrier-protein] 9-desaturase, chloroplastic",K03921
Kelch-like ECH-associated protein 1,K10456
DNA replication licensing factor mcm5-A,K02209
General secretion pathway protein A,nan
5-hydroxytryptamine receptor 1A,K08424
Estradiol 17-beta-dehydrogenase 11,K11146
Oligopeptide transport ATP-binding protein AppF,K05661
Tumor protein p73,K04451
EGF domain-specific O-linked N-acetylglucosamine transferase,K03714
KN motif and ankyrin repeat domain-containing protein 3,K18410
ECF RNA polymerase sigma factor SigW,nan
Probable ATP-dependent RNA helicase DDX47,K17307
Neuropeptide-like precursor 1,K05691
Putative ABC transporter ATP-binding protein OB0804,K05658
Glycerate 2-kinase,nan
cAMP-dependent protein kinase catalytic subunit 1,K04345
Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM,K04550
DOA4-independent degradation protein 4,K12191
Envelopment polyprotein,nan
Putative monooxygenase MoxC,nan
Uncharacterized symporter YnaJ,K23895
Putative uncharacterized protein,K06699
Zinc finger BED domain-containing protein 5,K03065
Trifolitoxin immunity protein,nan
Uncharacterized protein y4wF,nan
Putative dioxygenase RT0384,nan
Zinc finger C2H2 protein ECU06_1150,K09228
SWI/SNF chromatin-remodeling complex subunit snf5,K11648
Protein arginine N-methyltransferase 7,K11438
Putative uncharacterized protein,K20098
Putative GTP-binding protein 6,nan
26S proteasome regulatory subunit RPN12,K03031
Putative uncharacterized protein,K18932
Osmotically-inducible putative lipoprotein OsmE,nan
E3 ubiquitin-protein ligase RNF123,K23332
Transmembrane protease serine 11D,K01317
BAG family molecular chaperone regulator 2,K09556
Putative D-galactosamine-6-phosphate deaminase AgaS,nan
UPF0658 Golgi apparatus membrane protein C23H3.04,nan
"ATP-dependent RNA helicase mss116, mitochondrial",nan
dITP/XTP pyrophosphatase,nan
Probable RNA-dependent RNA polymerase 2,K11699
Na(+)/H(+) antiporter subunit D1,K03879
"Aminomethyltransferase, mitochondrial",K00605
"Probable glucan endo-1,6-beta-glucosidase B",K01210
Brain protein I3,nan
GTPase Der,K02132
DNA transposase THAP9,K23207
L-threo-3-deoxy-hexylosonate aldolase,K18123
LINE-1 retrotransposable element ORF2 protein,K10624
Uncharacterized oxidoreductase YxjF,K00019
Copper-exporting P-type ATPase B,K17686
WD repeat-containing protein 26 homolog,K22382
Tigger transposable element-derived protein 4,nan
"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",nan
Putative uncharacterized protein,K11826
Sulfate/thiosulfate import ATP-binding protein CysA,K05646
Putative uncharacterized protein,K17635
Linear gramicidin synthase subunit C,K18660
Traf2 and NCK-interacting protein kinase,K08840
Chymotrypsin BII,K09640
Villin-4,K05768
Tail assembly protein GT,nan
A disintegrin and metalloproteinase with thrombospondin motifs 15,K08629
Histone deacetylase complex subunit SAP30 homolog,K05313
Serine protease Hayan,K16506
Neuropeptide F,nan
Ubiquitin-conjugating enzyme E2 T,K13960
Glycine receptor subunit beta,K05196
UvrABC system protein B,K13982
DExH-box ATP-dependent RNA helicase DExH11,K12599
Putative uncharacterized protein,K23002
Collectin-10,K10066
Acrosin (Fragment),K09636
Putative uncharacterized protein,K12599
Histone-lysine N-methyltransferase 2C,K09188
Outer membrane usher protein YraJ,nan
Krueppel homolog 1,nan
Putative uncharacterized protein,K09523
Putative uncharacterized protein,K06772
Putative uncharacterized protein,K21436
Uncharacterized protein KIAA0930 homolog,K21767
Ubiquitin carboxyl-terminal hydrolase 30 homolog,K11851
Cysteine-rich motor neuron 1 protein,K24518
Protein kinase C-like 1B,K18050
NADP-dependent 3-hydroxy acid dehydrogenase,K22970
Protein O-mannosyl-transferase TMTC1,K23424
Putative uncharacterized protein,K01613
Activity-regulated cytoskeleton associated protein 2,K10841
Uncharacterized oxidoreductase YhdF,K10402
DNA polymerase epsilon subunit 3,K02326
GMC oxidoreductase family protein Mala s 12,K00108
Protein mothers against dpp,K04676
Lipoprotein signal peptidase,nan
Chaperone protein DnaJ,K09523
Uncharacterized oxidoreductase YrbE,K00010
Aconitate hydratase B,K01885
Leukocyte receptor cluster member 9,K10669
PiggyBac transposable element-derived protein 1,K20796
Bombyxin A-3,K04526
Cell cycle control protein 50B,K00972
Cytochrome c oxidase assembly factor 5,K18178
Probable cytochrome P450 49a1,K15004
FAD-linked oxidoreductase DDB_G0289697,K00103
Cytochrome P450 monooxygenase lcsI,K00488
Inositol-tetrakisphosphate 1-kinase,K00913
Gypsy retrotransposon integrase-like protein 1,K23797
Putative uncharacterized protein,K05094
Serine/threonine-protein phosphatase 1 regulatory subunit 10,K17552
Rho-related GTP-binding protein RhoE,K07859
Uncharacterized MscS family protein AF_1546,nan
Thiol:disulfide interchange protein DsbE,nan
Protein translocase subunit SecD,K05656
Chymotrypsin-like elastase family member 1,K09640
Protein kinase C-binding protein NELL1,K24342
Putative uncharacterized protein,K20638
Meckel syndrome type 1 protein homolog,K19332
Putative deoxyribonuclease RhsC,K24473
RNA-directed DNA polymerase from mobile element jockey,K18575
B-cell receptor CD22,K06467
Uncharacterized Na(+)/H(+) exchanger YjcE,K12041
"Dimethyladenosine transferase 2, mitochondrial",K17653
Exocyst complex component 5,K19984
Dosage compensation regulator,K13184
Fatty acid-binding protein,K08764
NADH-ubiquinone oxidoreductase 49 kDa subunit,K03935
IQ motif and SEC7 domain-containing protein 3,K12495
UvrABC system protein A,K05033
Delta(24(24(1)))-sterol reductase,K00213
Major facilitator superfamily transporter mfsA,K08150
Putative uncharacterized protein,K09216
Uncharacterized protein K02A2.6,K04613
Cilia- and flagella-associated protein 52,K08731
Ribosomal RNA large subunit methyltransferase E,nan
N-acetylgalactosaminyltransferase 7,K00710
Uncharacterized protein MT1527,nan
SLIT and NTRK-like protein 2,K20230
Glucoamylase,nan
Fasciclin-3,K06783
GPI mannosyltransferase 4,K08098
Probable electron transfer flavoprotein-quinone oxidoreductase YdiS,K00311
Dual specificity protein phosphatase 23,K14165
Ubiquitin conjugation factor E4,nan
Plasma kallikrein,K20111
Serine/threonine protein phosphatase PstP,K17505
Chemotaxis protein LafT,nan
Chorion class B protein Ld32 (Fragment),nan
Annexin B11,K17095
Sodium-dependent proline transporter,K05040
Bombyxin B-1 homolog,K04526
Putative defense protein 1,nan
Dihydrolipoyl dehydrogenase 3,K00382
MRN complex-interacting protein,K09237
Histone deacetylase 2,K06067
Putative uncharacterized protein,K20050
Uncharacterized tRNA/rRNA methyltransferase LasT,nan
Uncharacterized protein ECU09_1820,nan
Uncharacterized transporter YycB,nan
Probable capsular polysaccharide biosynthesis protein YwqC,nan
Death-inducer obliterator 1,K14832
Cullin-3A,K03869
Putative uncharacterized protein,K08187
Activity-regulated cytoskeleton associated protein 1,K01930
Acylcarnitine hydrolase,K01063
Retrovirus-related Pol polyprotein from transposon 297,K21440
Metabotropic glutamate receptor 4,K04611
Integrin alpha-9,K06487
Uncharacterized peptidase C1-like protein F26E4.3,K01275
Protocadherin Fat 3,K06813
Uncharacterized transporter R00093,nan
Gluconolactonase,nan
Ubiquitin domain-containing protein 1,nan
Putative uncharacterized protein,K23028
Phage-like element PBSX protein XkdK,nan
Transposon Tn21 resolvase,nan
Uncharacterized transporter slc-17.3,K12301
ATP-binding cassette sub-family A member 17,K05643
Probable fatty acyl-CoA reductase 5,K13356
ATP-binding protein Uup,nan
Phosphomannomutase/phosphoglucomutase,K01835
NADPH dehydrogenase,K05545
Uracil catabolism protein 4,nan
Putative uncharacterized protein,K17931
Glucose--fructose oxidoreductase,nan
Uncharacterized 22.8 kDa protein in gp15-gp3 intergenic region,nan
SCAN domain-containing protein 3,K03065
SET and MYND domain-containing protein DDB_G0273589,K11426
Putative uncharacterized protein,K14662
ABC transporter ATP-binding protein ModF,K05643
Monocarboxylate transporter 7,K11810
Proteasome subunit beta inpE,K02732
Disulfide bond formation protein B 1,nan
Tachykinins,nan
Putative membrane protein SCO5905,nan
Unconventional myosin-XVIIIb,K10362
Kin of IRRE-like protein 1,K16680
Oxygen sensor protein DosP,nan
Somatostatin receptor type 3,K05052
Ubiquitin-conjugating enzyme E2Q-like protein CG4502,K10582
Uncharacterized protein C16C4.16c,nan
Serine/threonine-protein phosphatase 4 regulatory subunit 3,K17491
Nucleic-acid-binding protein from transposon X-element,K01047
Tubby protein,K19600
Secretory carrier-associated membrane protein 3,K19995
Uncharacterized membrane protein YhhN,nan
Methionine aminopeptidase 2,K01265
Protein phosphatase 2C homolog 1,K14803
Maltose/maltodextrin transport system permease protein MalG,nan
Putative sterigmatocystin biosynthesis peroxidase stcC,nan
Bifunctional enzyme CysN/CysC,nan
Glycine cleavage system H protein,K02437
Ras-like GTP-binding protein RhoL,K16570
Murinoglobulin-2,K23593
Uncharacterized protein YhdP,nan
Putative uncharacterized protein,K19374
Uncharacterized serpin-like protein MA_3388,K23425
Zinc metalloproteinase nas-14,K01316
Putative uncharacterized protein,K02685
Uncharacterized protein HI_0933,nan
Retrovirus-related Pol polyprotein from transposon gypsy,K04456
A disintegrin and metalloproteinase with thrombospondin motifs 7,K08628
UV-stimulated scaffold protein A,K23720
Lysine-specific demethylase phf2,K19415
Soluble guanylate cyclase 89Da,K01769
Guanine nucleotide-binding protein subunit alpha-11,K04634
Transcriptional regulatory protein LiaR,nan
Arrestin domain-containing protein 3,K20910
Uncharacterized protein AF_1420,K05288
Protease 2,nan
Plasmid copy control protein CopR,nan
DNA excision repair protein ERCC-6,K10841
Petrobactin import system permease protein FatC,K05660
Putative uncharacterized protein,K16617
Neural/ectodermal development factor IMP-L2,K06550
Putative uncharacterized protein,K06771
Putative uncharacterized protein,K16862
RNA polymerase-associated protein RTF1 homolog,K15178
Retrovirus-related Pol polyprotein from transposon opus,K19511
UPF0178 protein PFLU_5917,nan
Uncharacterized protein YcbX,nan
Cyclin-dependent kinase 5 activator 2,K11716
Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,K13647
3-sulfolactaldehyde dehydrogenase,K00139
Putative uncharacterized protein,K06793
Peptidyl-glycine alpha-amidating monooxygenase A,K24006
Myeloid leukemia factor,K15622
"Acetolactate synthase catalytic subunit, mitochondrial",nan
Phosphomannomutase,nan
Dehydrogenase/reductase SDR family member on chromosome X,K11153
Helix-loop-helix protein 13,K22400
Transcription factor E2F3,K06620
Aristaless-related homeobox protein,K09330
Retrovirus-related Pol polyprotein from transposon 412,K07378
Putative uncharacterized protein,K04392
Putative uncharacterized protein,nan
